participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.real_world_currency_per_point,session.config.participation_fee,session.config.name,study_students.1.player.id_in_group,study_students.1.player.role,study_students.1.player.payoff,study_students.1.player.pslvis_experiment_id,study_students.1.player.pslvis_subject_id,study_students.1.player.has_pslvis_subject_id,study_students.1.player.experiment_program,study_students.1.player.data_protection,study_students.1.player.gender,study_students.1.player.age,study_students.1.player.highest_education,study_students.1.player.study_program,study_students.1.player.job,study_students.1.player.first_assessment_round,study_students.1.player.second_assessment_round,study_students.1.player.task_order_first,study_students.1.player.task_order_second,study_students.1.player.quiz_think_aloud,study_students.1.player.brier_first,study_students.1.player.brier_second,study_students.1.player.quiz_1,study_students.1.player.quiz_1_num_wrong,study_students.1.player.quiz_2,study_students.1.player.quiz_2_num_wrong,study_students.1.player.quiz_3,study_students.1.player.quiz_3_num_wrong,study_students.1.player.quiz_4,study_students.1.player.quiz_4_num_wrong,study_students.1.player.quiz_5,study_students.1.player.quiz_5_num_wrong,study_students.1.player.quiz_6,study_students.1.player.quiz_6_num_wrong,study_students.1.player.quiz_7,study_students.1.player.quiz_7_num_wrong,study_students.1.player.quiz_8,study_students.1.player.quiz_8_num_wrong,study_students.1.player.quiz_9,study_students.1.player.quiz_9_num_wrong,study_students.1.player.quiz_10,study_students.1.player.quiz_10_num_wrong,study_students.1.player.quiz_11,study_students.1.player.quiz_11_num_wrong,study_students.1.player.quiz_12,study_students.1.player.quiz_12_num_wrong,study_students.1.player.quiz_13,study_students.1.player.quiz_13_num_wrong,study_students.1.player.quiz_14,study_students.1.player.quiz_14_num_wrong,study_students.1.player.mental_feature_MatheNaturStudium,study_students.1.player.mental_feature_AlterStudienbeginn,study_students.1.player.mental_feature_Männlich,study_students.1.player.mental_feature_Migrant,study_students.1.player.mental_feature_NoteAbschlusszeugnis,study_students.1.player.mental_feature_Gymnasiumbesucht,study_students.1.player.mental_feature_MatheLeistungskurs,study_students.1.player.mental_feature_BerufsbegleitendesStudium,study_students.1.player.mental_feature_Fernstudium,study_students.1.player.mental_feature_ZufriedenheitLeben,study_students.1.player.mental_feature_Gewissenhaftigkeit,study_students.1.player.mental_feature_Verträglichkeit,study_students.1.player.mental_feature_Extraversion,study_students.1.player.mental_feature_OffenheitIntellekt,study_students.1.player.mental_feature_Neurotizismus,study_students.1.player.task_order_first_1,study_students.1.player.task_actual_value_first_1,study_students.1.player.first_assessment_1,study_students.1.player.task_order_first_2,study_students.1.player.task_actual_value_first_2,study_students.1.player.first_assessment_2,study_students.1.player.task_order_first_3,study_students.1.player.task_actual_value_first_3,study_students.1.player.first_assessment_3,study_students.1.player.task_order_first_4,study_students.1.player.task_actual_value_first_4,study_students.1.player.first_assessment_4,study_students.1.player.task_order_first_5,study_students.1.player.task_actual_value_first_5,study_students.1.player.first_assessment_5,study_students.1.player.task_order_first_6,study_students.1.player.task_actual_value_first_6,study_students.1.player.first_assessment_6,study_students.1.player.task_order_first_7,study_students.1.player.task_actual_value_first_7,study_students.1.player.first_assessment_7,study_students.1.player.task_order_first_8,study_students.1.player.task_actual_value_first_8,study_students.1.player.first_assessment_8,study_students.1.player.task_order_first_9,study_students.1.player.task_actual_value_first_9,study_students.1.player.first_assessment_9,study_students.1.player.task_order_first_10,study_students.1.player.task_actual_value_first_10,study_students.1.player.first_assessment_10,study_students.1.player.task_order_second_1,study_students.1.player.task_actual_value_second_1,study_students.1.player.second_assessment_1,study_students.1.player.task_order_second_2,study_students.1.player.task_actual_value_second_2,study_students.1.player.second_assessment_2,study_students.1.player.task_order_second_3,study_students.1.player.task_actual_value_second_3,study_students.1.player.second_assessment_3,study_students.1.player.task_order_second_4,study_students.1.player.task_actual_value_second_4,study_students.1.player.second_assessment_4,study_students.1.player.task_order_second_5,study_students.1.player.task_actual_value_second_5,study_students.1.player.second_assessment_5,study_students.1.player.task_order_second_6,study_students.1.player.task_actual_value_second_6,study_students.1.player.second_assessment_6,study_students.1.player.task_order_second_7,study_students.1.player.task_actual_value_second_7,study_students.1.player.second_assessment_7,study_students.1.player.task_order_second_8,study_students.1.player.task_actual_value_second_8,study_students.1.player.second_assessment_8,study_students.1.player.task_order_second_9,study_students.1.player.task_actual_value_second_9,study_students.1.player.second_assessment_9,study_students.1.player.task_order_second_10,study_students.1.player.task_actual_value_second_10,study_students.1.player.second_assessment_10,study_students.1.group.id_in_subsession,study_students.1.subsession.round_number
11,k05q0lzd,,0,0,33,,,,0,,,0.0,jn2fq7bu,Echte Sessions 28.08,,,,0,1.0,0.0,study_students,11,,0.0,,,0,,,,,,,,1,1,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
12,g4kgqgfq,,0,0,33,,,,0,,,0.0,jn2fq7bu,Echte Sessions 28.08,,,,0,1.0,0.0,study_students,12,,0.0,,,0,,,,,,,,1,1,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
13,gconf798,,0,0,33,,,,0,,,0.0,jn2fq7bu,Echte Sessions 28.08,,,,0,1.0,0.0,study_students,13,,0.0,,,0,,,,,,,,1,1,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
14,gjv5gy6z,,0,0,33,,,,0,,,0.0,jn2fq7bu,Echte Sessions 28.08,,,,0,1.0,0.0,study_students,14,,0.0,,,0,,,,,,,,1,1,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
15,8n2d8pvi,,0,0,33,,,,0,,,0.0,jn2fq7bu,Echte Sessions 28.08,,,,0,1.0,0.0,study_students,15,,0.0,,,0,,,,,,,,1,1,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
16,lhbn0543,,0,0,33,,,,0,,,0.0,jn2fq7bu,Echte Sessions 28.08,,,,0,1.0,0.0,study_students,16,,0.0,,,0,,,,,,,,1,1,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
17,zhydnrlr,,0,0,33,,,,0,,,0.0,jn2fq7bu,Echte Sessions 28.08,,,,0,1.0,0.0,study_students,17,,0.0,,,0,,,,,,,,1,1,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
18,s796lu2e,,0,0,33,,,,0,,,0.0,jn2fq7bu,Echte Sessions 28.08,,,,0,1.0,0.0,study_students,18,,0.0,,,0,,,,,,,,1,1,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
19,vjud6oi7,,0,0,33,,,,0,,,0.0,jn2fq7bu,Echte Sessions 28.08,,,,0,1.0,0.0,study_students,19,,0.0,,,0,,,,,,,,1,1,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
20,a7w1jj65,,0,0,33,,,,0,,,0.0,jn2fq7bu,Echte Sessions 28.08,,,,0,1.0,0.0,study_students,20,,0.0,,,0,,,,,,,,1,1,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
